Track[name=The Power & The Glory,artist=White Lies,duration=311,color=java.awt.Color[r=98,g=157,b=217],day=-5,graphHeight=42583], 1625484467, 421057088
Track[name=Come Down,artist=White Lies,duration=308,color=java.awt.Color[r=128,g=127,b=154],day=-5,graphHeight=42273], 1377963382, 459889536
Track[name=Streetlights,artist=White Lies,duration=298,color=java.awt.Color[r=122,g=133,b=197],day=-5,graphHeight=41668], 966912026, 1667700930
Track[name=Turn The Bells,artist=White Lies,duration=302,color=java.awt.Color[r=126,g=129,b=144],day=-5,graphHeight=41363], 881664133, -975984992
Track[name=Peace & Quiet,artist=White Lies,duration=352,color=java.awt.Color[r=228,g=27,b=36],day=-5,graphHeight=40422], 491919031, -39520118
Track[name=Is Love,artist=White Lies,duration=291,color=java.awt.Color[r=224,g=31,b=136],day=-5,graphHeight=40129], 2018596714, -707132566
Track[name=Bigger Than Us,artist=White Lies,duration=281,color=java.awt.Color[r=221,g=34,b=63],day=-5,graphHeight=39846], 608316892, 457582419
Track[name=Parallel Universe,artist=Red Hot Chili Peppers,duration=270,color=java.awt.Color[r=226,g=29,b=168],day=-6,graphHeight=84462], 1959844124, -362141646
Track[name=Stadium Arcadium,artist=Red Hot Chili Peppers,duration=314,color=java.awt.Color[r=51,g=204,b=197],day=-6,graphHeight=84146], 996014382, -34584223
Track[name=Warlocks,artist=Red Hot Chili Peppers,duration=205,color=java.awt.Color[r=90,g=165,b=37],day=-6,graphHeight=83940], 378689909, 1198190288
Track[name=Turn It Again,artist=Red Hot Chili Peppers,duration=365,color=java.awt.Color[r=101,g=154,b=16],day=-6,graphHeight=83573], 1647254502, 867140130
